,itemName,type,meal,location,ingredients,hasPeanut,hasGluten,notVegan,notVeg,hasSesame,hasDairy,hasSoy,hasEgg,hasFish,withAlcohol
0,FRENCH TOAST STICKS PLATTER,BREAKFAST ENTREES,Breakfast,Atrium,"french toast sticks, potato tater tot (potatoes, vegetable oil (soybean, canola, and or cottonseed oils), contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate (to maintain natural color.), frz sausage patty 1.33oz cooked (pork, water, salt, spices, dextrose, sugar, flavoring, lime juice concentrate), biscuit buttermilk rte",False,False,True,True,False,True,False,False,False,False
1,KINGS HAWAIIAN BREAKFAST SANDWICH,BREAKFAST ENTREES,Breakfast,Atrium,"roll kings hawaiian hamburger bun, fried egg (eggs fresh x large 15 dz, salt, vegan butter alternative (soybean oil, hydrogenated soybean oil, salt, soy lecithin, tbhq and citric acid added to help preserve freshness, natural and artificial flavor, beta-carotene (color), dimethylpolysiloxane), black pepper), frz sausage patty 1.33oz cooked (pork, water, salt, spices, dextrose, sugar, flavoring, lime juice concentrate), cheese american slcd yellow (skim milk, american cheese (milk, cheese cultures, salt, enzymes), palm oil, casein (milk protein), modified food starch, sodium citrate, salt, natural flavor, whey, citric acid, sorbic acid (as a preservative), artificial color, lecithin (soy))",False,True,True,True,False,True,False,True,False,False
2,KINGS HAWAIIAN CROISANT SANDWICH,BREAKFAST ENTREES,Breakfast,Atrium,"fried egg (eggs fresh x large 15 dz, salt, vegan butter alternative (soybean oil, hydrogenated soybean oil, salt, soy lecithin, tbhq and citric acid added to help preserve freshness, natural and artificial flavor, beta-carotene (color), dimethylpolysiloxane), black pepper), croissant xlarge 3.5oz (unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), butter (pasteurized cream), water, fresh milk, sugar, eggs, yeast, salt, ascorbic acid, enzymes. may also contain trace amounts of almond, pecan, soy, and sesame seeds.), frz sausage patty 1.33oz cooked (pork, water, salt, spices, dextrose, sugar, flavoring, lime juice concentrate), cheese american slcd yellow (skim milk, american cheese (milk, cheese cultures, salt, enzymes), palm oil, casein (milk protein), modified food starch, sodium citrate, salt, natural flavor, whey, citric acid, sorbic acid (as a preservative), artificial color, lecithin (soy))",True,True,True,True,True,True,False,True,False,False
3,SCRAMBLED EGG PLATTER,BREAKFAST ENTREES,Breakfast,Atrium,"scrambled eggs (egg liquid 2/20lb case (whole eggs, citric acid.), milk whole 5gal, vegan butter alternative (soybean oil, hydrogenated soybean oil, salt, soy lecithin, tbhq and citric acid added to help preserve freshness, natural and artificial flavor, beta-carotene (color), dimethylpolysiloxane)), potato tater tot (potatoes, vegetable oil (soybean, canola, and or cottonseed oils), contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate (to maintain natural color.), frz sausage patty 1.33oz cooked (pork, water, salt, spices, dextrose, sugar, flavoring, lime juice concentrate), biscuit buttermilk rte",False,False,True,True,False,True,False,True,False,False
4,BAJA SHRIMP TACO W/ CILANTRO LIME CREME,ENTREES,Lunch,Atrium,"tri color tortilla chip w/ tajin (chip tortilla tri-color), frz fish shrimp lg pdi 41-50ct t/off, prd garlic peeled fresh gal, tortillas flour 6"", juice fresh lime natural, cilantro crema (milk sour cream 5lb (cultured pasteurized light cream, nonfat milk, and enzymes), prd onion green scallion, herb fresh cilantro bunch, prd pepper chile serrano green, black pepper, salt), prd cabbage green shred 5lb, prd onion green scallion, oil olive pure, kosher salt, herb fresh cilantro bunch, black pepper, oregano leaves, ground cumin, ground coriander, chili powder (chili pepper, spices, salt, silicon dioxide (to make free flowing), and garlic.)",False,True,False,False,False,True,False,False,True,False
5,BEEF SLIDERS,ENTREES,Lunch,Atrium,"kings hawaiin base (potato fries seasoned waffle , roll kings hawaiian foodservice sliced, pickle whole new (green)), beef slider 80/2oz fresh thick, prd tomato large (6x6), prd lettuce shredded",False,False,True,True,False,False,False,False,False,False
6,BRISKET TACO,ENTREES,Lunch,Atrium,"tri color tortilla chip w/ tajin (chip tortilla tri-color), smoked beef brisket (beef brisket 120, butter print solids 36/1lb, onion powder, granulated garlic, black pepper, kosher salt), habanero lime garlic crema (fru prd limes, milk sour cream 5lb (cultured pasteurized light cream, nonfat milk, and enzymes), herb fresh cilantro bunch, prd garlic peeled fresh gal, kosher salt), tortillas flour 6"", roasted corn pico de gallo (pico de gallo fresh, prd corn on the cob/yellow, juice fresh lime natural, herb fresh cilantro bunch, kosher salt, black pepper), carmelized onions (prd onion spanish sliced, oil wesson canola 4/1gal, kosher salt)",False,True,True,True,False,True,False,False,False,False
7,CALIFORNIA ROLL,ENTREES,Lunch,Atrium,"sushi rice (water fresh, rice sticky (oriental), vinegar rice seasoned (rice vinegar (water, rice), sugar, salt, water), sauce mirin (glucose syrup, water, alcohol, rice, corn syrup, salt)), prd cucumber seedless 12ct, frz fish sea legs sticks, fru prd avocado ripe cal 48ct, gluten free tamari soy sauce, wrap nori ( seaweed sheet ), wasabi (wasabi powder (horseradish, mustard, citric acid, vitamin c, fd&c yellow no. 5, fd&c blue no. 1), water fresh), pickle ginger sushi",False,True,False,False,False,False,False,False,True,True
8,CHEESEBURGER SLIDER,ENTREES,Lunch,Atrium,"kings hawaiin base (potato fries seasoned waffle , roll kings hawaiian foodservice sliced, pickle whole new (green)), beef slider 80/2oz fresh thick, cheese american slcd yellow (skim milk, american cheese (milk, cheese cultures, salt, enzymes), palm oil, casein (milk protein), modified food starch, sodium citrate, salt, natural flavor, whey, citric acid, sorbic acid (as a preservative), artificial color, lecithin (soy)), prd tomato large (6x6), prd lettuce shredded",False,True,True,True,False,True,False,False,False,False
9,CHICKEN FINGER,ENTREES,Lunch,Atrium,"potato fries seasoned waffle , frz chicken brd tender sized (portioned chicken tenders with rib meat containing: up to 12% of a solution of water, salt, sodium phosphates, modified food starch. breaded with: bleached wheat flour, wheat flour, water, contains 2% or less of the following: autolyzed yeast extract, dextrose, dried yeast, disodium inosinate and disodium guanylate, leavening (sodium bicarbonate, sodium acid pyrophosphate, sodium aluminum phosphate, monocalcium phosphate), salt, soybean oil, spices, spice extractive, wheat gluten. breading set in vegetable oil.), pickle whole new (green)",True,True,True,True,False,False,False,False,False,False
